exam_type,year,college_code,college_name,category,branch_code,branch_full_name,closing_rank
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,CS,CS-Computer Science & Engineering,1667
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,CV,CV-Civil Engineering,45412
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,CY,CY-Computer Science & Engineering (Cyber Security),2845
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,CS,CS-Computer Science & Engineering,6671
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,CV,CV-Civil Engineering,83820
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,CY,CY-Computer Science & Engineering (Cyber Security),16304
COMEDK,2025,E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,CS,CS-Computer Science & Engineering,111099
COMEDK,2025,E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,CV,CV-Civil Engineering,105541
COMEDK,2025,E079,"Malnad College of Engineering-Rangoli Halla, Hassan",GM,CS,CS-Computer Science & Engineering,111070
COMEDK,2025,E080,"Mangalore Institute of Technology and Engineering- Moodbidri, Mangaluru",GM,CS,CS-Computer Science & Engineering,109490
